Date,XLRE,PLD,BMO,XLK,LRCX,^GSPC,SLF,AMT,XLF,SHY,AMAT
2007-01-03,,31.115880966186523,25.626794815063477,9.070391654968262,4.199116230010986,1416.5999755859375,19.67864990234375,27.50989532470703,20.556053161621094,57.45009994506836,13.536200523376465
2007-01-04,,30.881515502929688,25.462207794189453,9.210355758666992,4.407967567443848,1418.3399658203125,19.29050636291504,27.401308059692383,20.489253997802734,57.50746536254883,13.815449714660645
2007-01-05,,30.226396560668945,25.358261108398438,9.136488914489746,4.40202522277832,1409.7099609375,19.033302307128906,27.162405014038086,20.327781677246094,57.47160339355469,13.719910621643066
2007-01-08,,30.135845184326172,25.262985229492188,9.1636962890625,4.353630542755127,1412.8399658203125,19.122154235839844,27.937026977539062,20.416872024536133,57.4356803894043,13.881583213806152
2007-01-09,,30.508676528930664,25.31928253173828,9.175366401672363,4.345139980316162,1412.1099853515625,19.140859603881836,28.34243392944336,20.383459091186523,57.45726013183594,14.146138191223145
2007-01-10,,30.956092834472656,25.180692672729492,9.222020149230957,4.474190711975098,1414.8499755859375,19.13618278503418,28.458274841308594,20.450267791748047,57.44289779663086,14.359245300292969
2007-01-11,,31.4088191986084,25.206676483154297,9.315329551696777,4.542108058929443,1423.8199462890625,19.313892364501953,28.559614181518555,20.578327178955078,57.3997802734375,14.351898193359375
2007-01-12,,31.552623748779297,25.574810028076172,9.33865737915039,4.6304030418396,1430.72998046875,19.5196533203125,28.805755615234375,20.600605010986328,57.36394500732422,14.329855918884277
2007-01-16,,31.909473419189453,25.479530334472656,9.31921672821045,4.520884037017822,1431.9000244140625,19.921831130981445,28.77680206298828,20.65628433227539,57.421348571777344,14.315147399902344
2007-01-17,,31.829587936401367,25.522838592529297,9.198694229125977,4.595595836639404,1430.6199951171875,19.8049259185791,28.697172164916992,20.600605010986328,57.3997802734375,14.256372451782227
2007-01-18,,31.6112117767334,25.518508911132812,9.093719482421875,3.9240431785583496,1426.3699951171875,19.88442039489746,28.747838973999023,20.51708984375,57.421348571777344,13.41126537322998
2007-01-19,,31.957422256469727,25.752391815185547,9.089831352233887,4.014034748077393,1430.5,19.940532684326172,28.957796096801758,20.578327178955078,57.41416931152344,13.381879806518555
2007-01-22,,31.355545043945312,25.65277099609375,9.0237398147583,3.98177170753479,1422.949951171875,19.69268226623535,28.71164894104004,20.561626434326172,57.4356803894043,13.198159217834473
2007-01-23,,31.6698055267334,25.804363250732422,9.0237398147583,3.955454111099243,1427.989990234375,19.77686309814453,29.00846290588379,20.550495147705078,57.4069938659668,12.830726623535156
2007-01-24,,32.25035858154297,25.973281860351562,9.187029838562012,4.076860427856445,1440.1300048828125,19.912485122680664,29.059158325195312,20.762073516845703,57.4356803894043,12.933611869812012
2007-01-25,,32.28763961791992,25.986255645751953,9.074281692504883,4.004696369171143,1423.9000244140625,19.77686309814453,28.957796096801758,20.461414337158203,57.39265823364258,12.845425605773926
2007-01-26,,32.143836975097656,26.059894561767578,9.078173637390137,4.023373603820801,1422.1800537109375,19.865707397460938,28.972267150878906,20.50039291381836,57.3997802734375,13.065885543823242
2007-01-29,,32.26634979248047,25.877992630004883,9.117047309875488,3.9919626712799072,1420.6199951171875,19.78153419494629,28.62476921081543,20.400165557861328,57.4069938659668,12.940956115722656
2007-01-30,,32.21841812133789,26.00792121887207,9.171480178833008,3.936776638031006,1428.8199462890625,19.973276138305664,28.798521041870117,20.47811508178711,57.421348571777344,13.073235511779785
2007-01-31,,32.41015625,26.05207061767578,9.225908279418945,3.8892335891723633,1438.239990234375,20.066802978515625,28.834714889526367,20.64514923095703,57.48594284057617,13.029143333435059
2007-02-01,,32.70309066772461,26.148239135742188,9.187029838562012,3.8459360599517822,1445.93994140625,20.40351104736328,28.972267150878906,20.778770446777344,57.47876739501953,13.18346881866455
2007-02-02,,32.814937591552734,25.999616622924805,9.233680725097656,3.8824408054351807,1448.3900146484375,20.169692993164062,28.914352416992188,20.817745208740234,57.500362396240234,13.315739631652832
2007-02-05,,32.78831481933594,26.170087814331055,9.210355758666992,3.9393227100372314,1446.989990234375,20.45963478088379,28.98674774169922,20.812177658081055,57.48598098754883,13.323083877563477
2007-02-06,,32.96406555175781,26.222543716430664,9.198694229125977,3.8798937797546387,1448.0,20.41286849975586,29.030176162719727,20.906831741333008,57.55080032348633,13.337783813476562
2007-02-07,,34.41814041137695,26.314334869384766,9.241461753845215,3.926589012145996,1450.02001953125,20.361427307128906,29.066377639770508,20.98477554321289,57.57960510253906,13.41126537322998
2007-02-08,,34.46075439453125,26.340566635131836,9.25312328338623,3.8798937797546387,1448.31005859375,20.567197799682617,29.066377639770508,20.917970657348633,57.601192474365234,13.455358505249023
2007-02-09,,34.47673416137695,26.55912208557129,9.152034759521484,3.73641300201416,1438.06005859375,20.674745559692383,28.899864196777344,20.69526481628418,57.54363250732422,13.205511093139648
2007-02-12,,33.848236083984375,26.51103973388672,9.11315631866455,3.6871728897094727,1433.3699951171875,20.595245361328125,28.5958194732666,20.64514923095703,57.54363250732422,13.146718978881836
2007-02-13,,34.55128860473633,26.817031860351562,9.148151397705078,3.7398104667663574,1444.260009765625,21.02080535888672,28.63201141357422,20.795475006103516,57.536407470703125,13.397274017333984
2007-02-14,,34.08259582519531,26.817031860351562,9.276446342468262,3.7992401123046875,1455.300048828125,20.936634063720703,28.668209075927734,20.995908737182617,57.666099548339844,13.920487403869629
2007-02-15,,34.183773040771484,26.904441833496094,9.311445236206055,3.83235239982605,1456.81005859375,21.254627227783203,29.08085823059082,21.029319763183594,57.694915771484375,14.067876815795898
2007-02-16,,34.162479400634766,26.817031860351562,9.291999816894531,3.839991569519043,1455.5400390625,21.33602523803711,29.189451217651367,21.023754119873047,57.709293365478516,14.016291618347168
2007-02-20,,34.13584899902344,26.75581932067871,9.295892715454102,3.7457540035247803,1459.6800537109375,21.161949157714844,29.565902709960938,21.135099411010742,57.70209884643555,13.824687957763672
2007-02-21,,34.00270462036133,27.07928466796875,9.280336380004883,3.7890517711639404,1457.6300048828125,21.21840476989746,29.392168045043945,21.046022415161133,57.738101959228516,13.979443550109863
2007-02-22,,33.85887908935547,27.157970428466797,9.33088207244873,3.8170690536499023,1456.3800048828125,21.114910125732422,29.23288917541504,20.96250343322754,57.70209884643555,14.148941040039062
2007-02-23,,33.24104690551758,27.210411071777344,9.323104858398438,3.887535810470581,1451.18994140625,21.09137725830078,29.138778686523438,20.767635345458984,57.76695251464844,14.141569137573242
2007-02-26,,32.751033782958984,27.166719436645508,9.299774169921875,3.9503605365753174,1449.3699951171875,21.284273147583008,29.27631950378418,20.617305755615234,57.81013107299805,14.067876815795898
2007-02-27,,31.786983489990234,26.873842239379883,8.942093849182129,3.793297529220581,1399.0400390625,20.799680709838867,28.125253677368164,19.654090881347656,57.947021484375,13.603607177734375
2007-02-28,,31.318269729614258,26.476072311401367,8.97708511352539,3.7915985584259033,1406.8199462890625,20.37624740600586,28.031143188476562,20.0159912109375,57.903812408447266,13.684673309326172
2007-03-01,,31.12120246887207,26.13074493408203,8.969308853149414,3.7601866722106934,1403.1700439453125,20.35272789001465,27.770524978637695,19.99371910095215,57.98406982421875,13.59624195098877
